Joseph Saul Steinberg > Jefferies Financial Group Inc. (NYSE:JEF) > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors),,
,,
1st Degree Table: 329 Connections,,
Person,Primary Company,Connection
"Abell, Keith Wayne",FGL Holdings - Former Independent Director,Fidelity & Guaranty Life Insurance Company
"Adamany CPA, Linda L.",Jefferies Financial Group Inc. - Independent Director,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Alperin, Barry J.","Henry Schein, Inc. - Independent Director","Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Ambrecht, Kenneth C.","Spectrum Brands Legacy, Inc. - Director","Fortescue Metals Group Limited (ASX:FMG), SB/RH Holdings, LLC, Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"Archer, Dennis Wayne",Dickinson Wright PLLC - Chairman,Jefferies Group LLC
"Asali, Omar Marwan","Ranpak Holdings Corp. - Founder, CEO & Executive Chairman","Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company, NZCH Corporation, SB/RH Holdings, LLC, Spectrum Brands Holdings, Inc. (NYSE:SPB), Spectrum Brands Legacy, Inc."
"Babinchak, Donald L.",MK Resources LLC - Former Director of Human Resources,MK Resources LLC
"Baderschneider, Jean ","Tau Investment Management, LLC - Operating Partner, Supply Chain Management",Fortescue Metals Group Limited (ASX:FMG)
"Bailey, Keith E.",Apco Oil & Gas International Inc. - Independent Director,WilTel Communications Group Inc.
"Baird, Patrick Steven","QCR Holdings, Inc. - Independent Chairman of the Board",Fidelity & Guaranty Life Insurance Company
"Barclay, Fiona",Townsville Airport Pty Ltd. - Chief Financial Officer and Company Secretary,Fortescue Metals Group Limited (ASX:FMG)
"Barnaba, Mark Bradley",Macquarie Group Limited - Chairman of Western Australian Operations,Fortescue Metals Group Limited (ASX:FMG)
"Barrette, Raymond Joseph Rene",White Mountains Life Reinsurance (Bermuda) Ltd. - Director,"White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Bates, Norman R.","Jordan Industries International, LLC - Former Chief Financial Officer, Vice President and Assistant Secretary","Jordan Industries International, LLC"
"Bawden, William John",Fidelity & Guaranty Life - Former Director,"Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Baxter, Frank E.",Alliance College-Ready Public Schools - Chairman of the Board,Jefferies Group LLC
"Benson, James Michael","Clark Benson, LLC - President and Chief Executive Officer","Fidelity & Guaranty Life, Fidelity & Guaranty Life Insurance Company"
"Berkowitz, Bruce Robert","Fairholme Capital Management, L.L.C. - Founder, Chief Investment Officer, Portfolio Manager & Director","Olympus Re Insurance Company, Ltd., White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Bernstein, Martin Benjamin",Allcity Insurance Company - Former Director,Allcity Insurance Company
"Beyer, Robert David",Chaparal Investments LLC - Founder and Chairman,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Bienvenue, Patrick D.",Leucadia Financial Corporation - President,HomeFed Corporation (OTCPK:HOFD)
"Bingham-Hall, Penelope ",Dexus - Independent Non-Executive Director of DEXUS Funds Management Limited,Fortescue Metals Group Limited (ASX:FMG)
"Blunt, Christopher Owsley","FGL Holdings - President, CEO & Director",Fidelity & Guaranty Life Insurance Company
"Boland, Thomas F.","Seneca Financial Group, Inc. - Managing Director","The FINOVA Group, Inc."
"Borden, Paul J.",HomeFed LLC - Vice Chairman,HomeFed Corporation (OTCPK:HOFD)
"Borges, Francisco Lopes","Landmark Partners LLC - Managing Partner, Founder & Chairman","Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Bothof, Delwin L.",CVC Acquisition Co. (Ireland) Limited - President of Hibernia Media,WilTel Communications Group Inc.
"Boucher, Jonathan F.","Jordan Industries International, LLC - Vice President and Assistant Secretary","Jordan Industries International, LLC"
"Bourigeaud, Bernard André Joseph",Advent International Corporation - Operating Partner,Jefferies Group LLC
"Bowlin, John D.","CCMP Capital Advisors, LP - Executive Advisor","Spectrum Brands Legacy, Inc."
"Brayshaw AM, Geoffrey Frank",Poseidon Nickel Limited - Former Independent Director,Fortescue Metals Group Limited (ASX:FMG)
"Breyne, Matthew M.","Phoenix Capital Management, LLC - Chief Financial Officer and Partner","The FINOVA Group, Inc."
"Brizius, Charles A.","1251 Capital Group, Inc. - Co-Chief Executive Officer & Member of Board of Directors","Spectrum Brands Legacy, Inc."
"Broadbent, Peregrine C. de M.",Jefferies Group LLC - Former Executive VP & CFO,Jefferies Group LLC
"Brouillette B.Sc., Yves ","White Mountains Insurance Group, Ltd. - Former Director","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Bumgarner Jr., John C.",Williams International Company - President,WilTel Communications Group Inc.
"Burston, Ian Fred",African Iron Limited - Non Executive Chairman,Fortescue Metals Group Limited (ASX:FMG)
"Butler, David M.","The Jordan Company, L.P. - Partner","Jordan Industries International, LLC"
"Byrne Jr., John Joseph","White Mountains Insurance Group, Ltd. - Former Chairman & CEO","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Byrne, Mark J.","Validus UPS, Ltd. - Former Co-Founder","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Byrne, Patrick M.","Overstock.com, Inc. - Founder","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Campbell, Reid Tarlton","White Mountains Insurance Group, Ltd. - Executive VP & CFO","White Mountains Insurance Group, Ltd. (NYSE:WTM)"
"Campbell, Walter Patrick",Jefferies Group LLC - Independent Director,"Jefferies Financial Group Inc. (NYSE:JEF), Jefferies Group LLC"
"Cao, Huiquan ","Hunan Valin Steel Co., Ltd. - Chairman of the Board of Directors",Fortescue Metals Group Limited (ASX:FMG)
"Cao, Zhiqiang ",Fortescue Metals Group Limited - Director,Fortescue Metals Group Limited (ASX:FMG)
"Carlson, Douglas M.",Zinio LLC - Managing Director,"Crimson Wine Group, Ltd. (OTCPK:CWGL)"
"Carmichael, William P.",Quarry Hill Partners LLC - Operating Partner,"Spectrum Brands Legacy, Inc."
"Caruso, Mark Victor",Mineral Commodities Ltd - Executive Chairman & CEO,Fortescue Metals Group Limited (ASX:FMG)
"Catlow, Christopher James",Fortescue Metals Group Limited - Former Director of Investment & Business Development and Joint Company Secretary,Fortescue Metals Group Limited (ASX:FMG)
