"Lisa  Gersh > Martha Stewart Living Omnimedia, Inc. > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors)",,
,,
1st Degree Table: 153 Connections,,
Person,Primary Company,Connection
"Abraham Ph.D., Magid M.","xAd, Inc. - Director","comScore, Inc. (NasdaqGS:SCOR)"
"Anderson, Basil L.",Moody's Corporation - Independent Director,"Hasbro, Inc. (NasdaqGS:HAS)"
"Baker, Charles C.",Yelp Inc. - Former CFO & Principal Accounting Officer,XO Group Inc.
"Bascobert, Paul J.",XO Group Inc. - Former President,XO Group Inc.
"Batkin, Alan R.",Pattern Energy Group Inc. - Former Independent Chairman of the Board,"Hasbro, Inc. (NasdaqGS:HAS)"
"Baum, Herbert M.","Motorsports Authentics, LLC - Executive Chairman","Hasbro, Inc. (NasdaqGS:HAS)"
"Beers, Charlotte L.",A.S. Roma S.P.A. - Independent Director,"Martha Stewart Living Omnimedia, Inc."
"Berman, Thomas D.","Visible World, Inc. - Former Director","comScore, Inc. (NasdaqGS:SCOR)"
"Biondi Jr., Frank J.","WaterView Advisors, L.L.C. - Former Senior Managing Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Boyko, Richard J.","Canoe Ventures, LLC - Member of Advisory Board","Martha Stewart Living Omnimedia, Inc."
"Brady, Katherine Wu","XO Group Inc. - Former Executive Vice President, E-Commerce & Registry",XO Group Inc.
"Brehob, Joseph",XO Group Inc. - Former Independent Director,XO Group Inc.
"Bronfin, Kenneth A.",Hearst Ventures - Senior Managing Director & Head of International Investments,"Hasbro, Inc. (NasdaqGS:HAS)"
"Burns, Michael R.",Lions Gate Entertainment Corp. - Executive Vice Chairman,"Hasbro, Inc. (NasdaqGS:HAS)"
"Carlin, Ira ","Mediaplex, Inc. - Director",XO Group Inc.
"Carsey, Marcy ",Oxygen Media LLC - Co-Founder,Oxygen Media LLC
"Chang, Gareth C. C.",AsiaTech Ventures Limited - Chairman,"comScore, Inc. (NasdaqGS:SCOR)"
"Chemerow, David I.",RiceBran Technologies - Independent Director,"comScore, Inc. (NasdaqGS:SCOR)"
"Cochran, Hope F.","Madrona Venture Group, LLC - Managing Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Connors Jr., John M.","Lycos, Inc. - Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Dale, Gregory T.",Persado Inc. - Chief Operating Officer,"comScore, Inc. (NasdaqGS:SCOR)"
"Davis, Crispin Henry Lamert",Vodafone Group Plc - Independent Non-Executive Director,"Hasbro, Inc. (NasdaqGS:HAS)"
"de Villeméjane, Pierre ",Heritage Home Group LLC - Chief Executive Officer and President,"Martha Stewart Living Omnimedia, Inc."
"Dienst, Daniel W.","Knoll, Inc. - Independent Director","Martha Stewart Living Omnimedia, Inc."
"Doerr III, L. John",Kleiner Perkins Caufield & Byers - Chairman & Founder,"Martha Stewart Living Omnimedia, Inc."
"Elliott, Jerry V.",Elliott Group Communications Interests CA LLC - Founder and Chief Executive Officer,"The Weather Channel Interactive, Inc."
"Engel, William E.","Simmons Research, Inc. - Co-Chief Executive Officer","comScore, Inc. (NasdaqGS:SCOR)"
"Evans, Carol Koh",XO Group Inc. - Former Chief Operating Officer,XO Group Inc.
"Fassino, Rob",XO Group Inc. - Co-Founder,XO Group Inc.
"Fekkai, Frédéric ",Stripes Group LLC - Entrepreneur in Residence,"Martha Stewart Living Omnimedia, Inc."
"Fink CPA, Gregory A.","comScore, Inc. - CFO & Treasurer","comScore, Inc. (NasdaqGS:SCOR)"
"Follo, James M.","HSN, Inc. - Director","Martha Stewart Living Omnimedia, Inc."
"Fradin, Russell","Dynamic Signal Inc. - Co-Founder, Chairman & CEO","comScore, Inc. (NasdaqGS:SCOR)"
"Frascotti, John A.","Hasbro, Inc. - President , COO & Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Fulgoni, Gian M.","Yesmail, Inc. - Director","comScore, Inc. (NasdaqGS:SCOR)"
"Fuller, Dale L.",The Riverside Company - Former Operating Partner,"comScore, Inc. (NasdaqGS:SCOR)"
"Ganek, Jeffrey E.",INTTRA Inc. - Chairman,"comScore, Inc. (NasdaqGS:SCOR)"
"Garrick, George R.","AdaptiveAds, Inc. - Member of Advisory Board","comScore, Inc. (NasdaqGS:SCOR)"
"Gee, E. Gordon","L Brands, Inc. - Former Independent Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Golden, Bruce ",Accel Partners - General Partner and Partner,"comScore, Inc. (NasdaqGS:SCOR)"
"Goldner, Brian D.","Hasbro, Inc. - Chairman & CEO","Hasbro, Inc. (NasdaqGS:HAS)"
"Goldstein, Michael ",TriArtisan Capital Advisors LLC - Operating Executive,"Martha Stewart Living Omnimedia, Inc."
"Gordon Q.C., Harold Philip",Trinity Time Investments Ltd. - Director,"Hasbro, Inc. (NasdaqGS:HAS)"
"Gottesman, Patricia A.","World Wrestling Entertainment, Inc. - Former Independent Director","comScore, Inc. (NasdaqGS:SCOR)"
"Graves, Elizabeth ","Martha Stewart Living Omnimedia, Inc. - Editor-in-Chief","Martha Stewart Living Omnimedia, Inc."
"Green, John Morris","Inovalon Holdings, Inc. - Former Chief Financial Officer","comScore, Inc. (NasdaqGS:SCOR)"
"Greenberg, Jack M.",IQVIA Holdings Inc. - Former Director,"Hasbro, Inc. (NasdaqGS:HAS)"
"Greenthal, Jill A.",The Blackstone Group Inc. - Senior Advisor of Private Equity Group,"Martha Stewart Living Omnimedia, Inc."
"Gutfreund, Joshua L.","Clarity Partners, LP - General Partner",Oxygen Media LLC
"Guthart Ph.D., Leo A.","Topspin Partners LBO, LP - Senior Advisor & Managing Partner","comScore, Inc. (NasdaqGS:SCOR)"
"Hargreaves, David D. R.","Toy Industry Association, Inc. - Chairman","Hasbro, Inc. (NasdaqGS:HAS)"
"Harris, Mark Robert",GPI Textiles Limited - Director,"comScore, Inc. (NasdaqGS:SCOR)"
"Hassenfeld, Alan G.","Hasbro Toys & Games Holdings, S.L. - Chairman & Chief Executive Officer","Hasbro, Inc. (NasdaqGS:HAS)"
"Hassenfeld, Sylvia K.","Hasbro, Inc. - Former Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Henderson, William J.","LiveRamp Holdings, Inc. - Independent Director","comScore, Inc. (NasdaqGS:SCOR)"
"Hier-King, Jan ","Bicycle Financial, Inc. - Founder and Chief Technology Officer",XO Group Inc.
"Hochhauser, Howard ","Ancestry.com LLC - COO, CFO & Director","Martha Stewart Living Omnimedia, Inc."
"Hofstetter, Sarah ","comScore, Inc. - Former President","comScore, Inc. (NasdaqGS:SCOR)"
"Huston, Sheri","comScore, Inc. - Former Chief Financial Officer","comScore, Inc. (NasdaqGS:SCOR)"
"Irvine, Diane M.",Yelp Inc. - Independent Chairperson of the Board,XO Group Inc.
"Jacques, Allison","Martha Stewart Living Omnimedia, Inc. - Former Principal Accounting Officer, Senior Vice President and Controller","Martha Stewart Living Omnimedia, Inc."
"Kantarian, Arlen","Martha Stewart Living Omnimedia, Inc. - Former Lead Director","Martha Stewart Living Omnimedia, Inc."
"Katz, William",Lazard Global Mid Cap Fund Inc.,"comScore, Inc. (NasdaqGS:SCOR)"
"Kay, David B.",CrossCountry Consulting LLC - Co-Founder & Managing Partner,"comScore, Inc. (NasdaqGS:SCOR)"
"Kelly, Michael J.",ColSpace Corporation - Chairman,"The Weather Channel Interactive, Inc."
"Kenny, David W.",The Weather Company Pty. Ltd. - Chairman and Chief Executive Officer,"The Weather Channel Interactive, Inc."
"Kerrest, Jacques D.",Intelsat S.A. - Former Executive VP & CFO,"comScore, Inc. (NasdaqGS:SCOR)"
"Klarman, Jason ",Oxygen Media LLC - Former President,Oxygen Media LLC
"Klein, Gary ","Martha Stewart Living Omnimedia, Inc. - Chief Financial Officer","Martha Stewart Living Omnimedia, Inc."
"Koppelman, Charles A.","CAK Entertainment, Inc. - Chairman & CEO","Martha Stewart Living Omnimedia, Inc."
"Korn, Ronald J.","PetMed Express, Inc. - Independent Director","comScore, Inc. (NasdaqGS:SCOR)"
"Kramer, Michael W.",MedMen Enterprises Inc. - Former Consultant,"Martha Stewart Living Omnimedia, Inc."
"Kravis, Marie- Josée","Joseph E. Seagram & Sons, Inc. - Executive Officer","Hasbro, Inc. (NasdaqGS:HAS)"
"Laybourne, Geraldine B.","Alloy, LLC - Former Chairperson",Oxygen Media LLC
"Leinbach, Tracy Ann","Hasbro, Inc. - Independent Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Lewis, Joan M.",The Oneida Group Inc. - Director,"comScore, Inc. (NasdaqGS:SCOR)"
"Liu, David ",XO Group Inc. - Former Non-Executive Chairman,XO Group Inc.
"Livek, William P.","comScore, Inc. - CEO & Executive Vice Chairman","comScore, Inc. (NasdaqGS:SCOR)"
"Lyne, Susan M.",Oath Inc. - President of the BBG Fund,"Martha Stewart Living Omnimedia, Inc."
"Malone, Claudine Berkeley",Lafarge North America Inc. - Director,"Hasbro, Inc. (NasdaqGS:HAS)"
"Mandabach, Caryn ",Oxygen Media LLC - Co-Founder,Oxygen Media LLC
"Marino, Robin ","Summer Infant, Inc. - Independent Chairwoman","Martha Stewart Living Omnimedia, Inc."
"Martinez, Arthur C.","HSN, Inc. - Former Director","Martha Stewart Living Omnimedia, Inc."
"Matta, Serge ","xAd, Inc. - Former President","comScore, Inc. (NasdaqGS:SCOR)"
"McKenna-Doyle, Michelle Robinette","RingCentral, Inc. - Independent Director","comScore, Inc. (NasdaqGS:SCOR)"
"Meierhoefer, Cameron ","comScore, Inc. - Former Special Advisor","comScore, Inc. (NasdaqGS:SCOR)"
"Messing, Barbara ",Walmart Inc. - Former Senior VP & Chief Marketing Officer-U.S.,XO Group Inc.
"Millard, Wenda Harris","Media Link, LLC - Vice Chairman, President & COO","Martha Stewart Living Omnimedia, Inc."
"Mohn, Jarl ","National Public Radio, Inc. - Chief Executive Officer","comScore, Inc. (NasdaqGS:SCOR)"
"Moore, Darla Dee",Rainwater Inc - Partner and President,"Martha Stewart Living Omnimedia, Inc."
"Mueller, John P.","The Topps Company, Inc. - Chief Financial Officer",XO Group Inc.
"Munson, Gillian ","XO Group Inc. - Former CFO, Treasurer & Secretary",XO Group Inc.
"Murray, Karen ","Sequential Brands Group, Inc. - Senior Advisor","Martha Stewart Living Omnimedia, Inc."
"Naughton, Eileen ",Google LLC - Vice President of People Operations,XO Group Inc.
"Nichols, Wesley A.","comScore, Inc. - Strategic Advisor","comScore, Inc. (NasdaqGS:SCOR)"
"Norman, Robert David",Group M Worldwide Inc - Senior Advisor,"comScore, Inc. (NasdaqGS:SCOR)"
"Oliver Garrett, Michael William","Bobst Group North America, Inc. - Director","Hasbro, Inc. (NasdaqGS:HAS)"
"Paltrow, Gwyneth Kate","Goop Inc. Limited - Founder, Editor-In-Chief and Creative Director",Goop Inc. Limited
"Patrick, Sharon Lee",Informa Tech Holdings LLC - Director,"Martha Stewart Living Omnimedia, Inc."
"Peirez, Joshua L.",Dun & Bradstreet Limited - President and Chief Operating Officer,"comScore, Inc. (NasdaqGS:SCOR)"
"Peterson, Robert Wayne",Piper Sandler & Co. - Director,"Martha Stewart Living Omnimedia, Inc."
"Philip, Edward Michael",Highland Capital Partners - Managing General Partner,"Hasbro, Inc. (NasdaqGS:HAS)"
"Pike, Eric","Martha Stewart Living Omnimedia, Inc. - Former Editor-In-Chief","Martha Stewart Living Omnimedia, Inc."
"Pishevar, Shervin Kordary","Webs, Inc. - Founding President and Chief Operating Officer","comScore, Inc. (NasdaqGS:SCOR)"
