"Michael  Ovitz > Creative Artists Agency, LLC > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors)",,
,,
1st Degree Table: 138 Connections,,
Person,Primary Company,Connection
"Abrams, Sharlene","Mercury Interactive Corp. - Former Chief Financial Officer, Vice President of Finance & Administration and Secretary",Opsware Inc.
"Aiken, Jason W.",CSRA Inc. - VP & Director,Gulfstream Aerospace Corporation
"Anderson, Robert E.",Bank of America Corporation - Former Director,Gulfstream Aerospace Corporation
"Andreessen, Marc Lowell",Andreessen Horowitz LLC - Co-Founder & General Partner,Opsware Inc.
"Archbold, Michael G.","Express, Inc. - Independent Director",Yankee Holding Corp.
"Ard, Mark",Gulfstream Aerospace Corporation - Chief Engineer of Advanced Aircraft Programmes and Director,Gulfstream Aerospace Corporation
"Beers, Charlotte L.",A.S. Roma S.P.A. - Independent Director,"Gulfstream Aerospace Corporation, J.Crew Group, Inc."
"Bell Jr., Thomas D.","Mesa Capital Partners, LLC - Chairman",Gulfstream Aerospace Corporation
"Berry, Jeff M.","Physicians Formula Cosmetics, Inc. - Director","Creative Artists Agency, LLC"
"Besanko, Bruce H.",Kohl's Corporation - Former Senior Advisor,Yankee Holding Corp.
"Bifulco Jr., Frank P.",Yankee Holding Corp. - Director,Yankee Holding Corp.
"Boisture Jr., Worth W.","Global Jet Capital, Inc. - Senior Advisor",Gulfstream Aerospace Corporation
"Bokman, Amanda J.","ONE Jeanswear Group Inc. - Former Chief Financial Officer, Vice President, Secretary and Treasurer","J.Crew Group, Inc."
"Bonderman, David ","TPG Capital, L.P. - Co-Founder, Chairman, Founding Partner & Managing Partner","J.Crew Group, Inc."
"Boyce, Richard W.","Altamont Capital Management, LLC - Senior Advisor","J.Crew Group, Inc."
"Brenneman, Gregory Dean",TurnWorks Inc. - Chairman and Chief Executive Officer,"J.Crew Group, Inc."
"Brett Jr., James W.",Cole Haan LLC - Director,"J.Crew Group, Inc."
"Brett, Jim W.","J.Crew Group, Inc. - Former Director","J.Crew Group, Inc."
"Brotman, Adam B.","MOD Super Fast Pizza, LLC - Advisor & Director","J.Crew Group, Inc."
"Burden III, John W.","7thonline, Inc. - Director","J.Crew Group, Inc."
"Burman, Terry Lee",Abercrombie & Fitch Co. - Independent Non-Executive Chairman,Yankee Holding Corp.
"Burns, Mark L.",Gulfstream Aerospace Corporation - President,Gulfstream Aerospace Corporation
"Burtson, James E.","Creative Artists Agency, LLC - Chief Financial Officer","Creative Artists Agency, LLC"
"Campbell, William V.",Apple Inc. - Former Miscellaneous,Opsware Inc.
"Casati, Mary Ann","Circle Financial Group, LLC - Partner","J.Crew Group, Inc."
"Chabraja, Nicholas D.",General Dynamics Land Systems Inc. - Chairman and Chief Executive Officer,Gulfstream Aerospace Corporation
"Clare, Daniel G.",Gulfstream Aerospace Corporation - Chief Financial Officer,Gulfstream Aerospace Corporation
"Clark, Lawrence S.","Legend Pictures, LLC - Chief Financial Officer, Chief Operating Officer and Director","Creative Artists Agency, LLC"
"Conte, David F.",Splunk Inc. - Former Senior Vice President of Finance,Opsware Inc.
"Copans, Richard H.","Madison Dearborn Partners, LLC - MD & Co-Head Basic Industries",Yankee Holding Corp.
"Coslet, Jonathan J.","TPG Capital, L.P. - Chief Investment Officer, Partner and Senior Partner","J.Crew Group, Inc."
"Coulter, James George","TPG Capital, L.P. - Co-Founder, Co-CEO & Managing Partner","J.Crew Group, Inc."
"Cranney, Mark ","SignalFx, Inc. - Former Chief Commercial Officer & COO",Opsware Inc.
