"Ryan  Israel > Pershing Square Capital Management, L.P. > Relationship GridFilter Options: Board Members and Key Executives with Personal Relationships (Including Priors)",,
,,
1st Degree Table: 26 Connections,,
Person,Primary Company,Connection
"Ashken, Ian G. H.",Element Solutions Inc - Independent Director,Element Solutions Inc (NYSE:ESI)
"Benson, Scot R.",Alent Limited - Executive Director,Element Solutions Inc (NYSE:ESI)
"Berggruen, Nicolas ",Resilience Capital Partners LLC - Founding Investor & Executive Advisor,Element Solutions Inc (NYSE:ESI)
"Bolingbroke, Gregory M.",Yorkshire Equity LLC - Investment Professional,Element Solutions Inc (NYSE:ESI)
"Cathcart, Alun ",EMAP Limited - Former Executive Chairman of Emap Plc,Element Solutions Inc (NYSE:ESI)
"Connolly, John P.",Element Solutions Inc - Former Chief Financial Officer,Element Solutions Inc (NYSE:ESI)
"Ecklin, Robert L.",Smart System Technology & Commercialization Center - Director,Element Solutions Inc (NYSE:ESI)
"Ellis Franklin, Martin ",Element Solutions Inc - Founder & Executive Chairman,Element Solutions Inc (NYSE:ESI)
"Gliklich, Benjamin",Element Solutions Inc - CEO & Director,Element Solutions Inc (NYSE:ESI)
"Goss, Michael Fenton",Sotheby's - Former Executive VP & CFO,Element Solutions Inc (NYSE:ESI)
"Griebel, R. Nelson",Element Solutions Inc - Former President and Chief Operating Officer,Element Solutions Inc (NYSE:ESI)
"Hewett, Wayne M.",Kleopatra Holdings 2 S.C.A. - CEO & Director,Element Solutions Inc (NYSE:ESI)
"Khattri, Sanjiv",Silver Lane Advisors LLC - Advisory Director,Element Solutions Inc (NYSE:ESI)
"Largan, Stephen",Yorkshire Equity LLC - Managing Director,Element Solutions Inc (NYSE:ESI)
"Leever, Daniel H.",Greylion Capital LP - Operating Partner,Element Solutions Inc (NYSE:ESI)
"Malfettone, John P.",NY Credit Corp - Independent Trustee,Element Solutions Inc (NYSE:ESI)
"Maynard-Elliott, Nichelle ",Element Solutions Inc - Independent Director,Element Solutions Inc (NYSE:ESI)
"Minc, Alain ",Sanef SA - Chairman of the Board,Element Solutions Inc (NYSE:ESI)
"Monteiro, Frank J.",Alent Limited - Executive Director,Element Solutions Inc (NYSE:ESI)
"Myners, Paul ",Cevian Capital AB - Partner and Chairman of the UK Operations,Element Solutions Inc (NYSE:ESI)
"Ogilvie, Donald G.",Deloitte LLP - Independent Chairman of Deloitte Center for Banking Solutions,Element Solutions Inc (NYSE:ESI)
"O'Neal, Ernest Stanley",Element Solutions Inc - Independent Director,Element Solutions Inc (NYSE:ESI)
"Sachdev, Rakesh",Sigma-Aldrich Corporation - Director,Element Solutions Inc (NYSE:ESI)
"Silvestri, Joseph M.","MacDermid Holdings, LLC - President",Element Solutions Inc (NYSE:ESI)
"Smith, James Copenhaver",Webster Preferred Capital Corp. - Chairman & CEO,Element Solutions Inc (NYSE:ESI)
"Spitzer Jr., T. Quinn",Element Solutions Inc - Former Lead Director,Element Solutions Inc (NYSE:ESI)
,,
"2nd Degree Table: 3,499 Connections",,
Person,Primary Company,Connection to 1st Degree
"Abelló, Juan",Sotheby's - Former Member of Advisory Board,"Sotheby's (NYSE:BID) (Goss, Michael Fenton)"
"Abolt, Craig D.",Cieslok Media - Chief Financial Officer and Executive Vice President,"Covanta Holding Corporation (NYSE:CVA) (Khattri, Sanjiv)"
"Aboobakar, Mohamed Javed","Bain Capital Private Equity, LP - Director","Bain Capital Private Equity, LP (Goss, Michael Fenton)"
"Abraham, Silji ","West Pharmaceutical Services, Inc. - Chief Digital & Transformation Officer and Senior VP","Sigma-Aldrich Corporation (Sachdev, Rakesh)"
"Abrahamson, Darren ","Bain Capital Private Equity, LP - Managing Director, Bain Capital Tech Opportunities","Bain Capital Private Equity, LP (Goss, Michael Fenton)"
"Abrams, Robert H.",NY Credit Corp - Independent Trustee,"NY Credit Corp (Malfettone, John P.)"
"Ackerman, F. Duane","United Parcel Service of America, Inc. - Director","The Home Depot, Inc. (NYSE:HD) (Hewett, Wayne M.)"
"Ackermann, Hilary E.",Vistra Corp. - Independent Director,"Apollo Investment Corporation (NasdaqGS:AINV) (Ellis Franklin, Martin )"
"Adair, Wendell",Motors Liquidation Company - Former Director,"Motors Liquidation Company (O'Neal, Ernest Stanley)"
"Adams, Colin Raymond",Huntsworth plc - Former Group Finance Director and Director,"Huntsworth plc (LSE:HNT) (Myners, Paul )"
"Adamski, William V.","NY Credit Corp - Former Chairman, Chief Executive Officer and Interim Chief Investment Officer","NY Credit Corp (Malfettone, John P.)"
"Adamson, James B.",Sears Holdings Corporation - Former Chairman and Chief Executive Officer,"Restaurant Brands International Inc. (NYSE:QSR) (Ellis Franklin, Martin )"
"Adeane CVO, G. Edward",Henderson Global Trust plc - Former Director,"Henderson Global Trust plc (Myners, Paul )"
"Adebowale CBE, Victor ",Co-operative Group Limited - Independent Non-Executive Director,"Co-operative Group Limited (Myners, Paul )"
"Adelman, Sheldon G.",Resilience Capital Partners LLC - Member of the Board of Advisors,"Resilience Capital Partners LLC (Berggruen, Nicolas )"
"Adnani, Amir ","Uranium Energy Corp. - Founder, President, CEO, Principal Executive Officer & Director","Grupo Brasilinvest S.A. (Berggruen, Nicolas )"
"Agee, Jeffrey Dean","First Citizens Bancshares, Inc. - Chairman & CEO","Federal Reserve Bank Of St. Louis (Sachdev, Rakesh)"
"Agranoff, Stuart L.","Ruxton Health Care, Inc. - Director","Court Square Capital Partners L.P. (Silvestri, Joseph M.)"
"Ahamed, Liaquat ","IDEAglobal, Ltd. - Member of Advisory Board","Aspen Insurance Holdings Limited (NYSE:AHL) (Myners, Paul )"
"Ahuja, Sanjiv ",Apollo Towers Myanmar Ltd. - Founder and Chairman,"Orange Holding S.A. (Myners, Paul )"
"Aiken, Alfred L.",Federal Reserve Bank of Boston Inc. - Former President,"Federal Reserve Bank of Boston Inc. (Smith, James Copenhaver)"
"Ainslie III, Lee S.","Maverick Capital, Ltd. - Founder, Managing Partner & CEO","The Partnership for New York City, Inc. (O'Neal, Ernest Stanley)"
"Ainslie, Michael L.",Sotheby's - Former President and Chief Executive Officer,"Sotheby's (NYSE:BID) (Goss, Michael Fenton)"
"Aisa Mancho, José Manuel ","Cellnex Telecom, S.A. - Corporate Finance, CFO and M&A Director","Sanef SA (Minc, Alain )"
"Aitken-Davies, Richard",Louisville Gas and Electric Company - Former Chief Financial Officer,"Kentucky Utilities Company (Myners, Paul ), Louisville Gas and Electric Company (Myners, Paul )"
"Aitkenhead, Leslie Allan",Gartmore Investment Management Limited - Chief Operating Officer and Director,"Gartmore Investment Management Limited (Myners, Paul )"
"Akers, Richard J.","Revo - Vice President, Member of Executive Board and Member of Advisory Board","Land Securities Group plc (LSE:LAND) (Myners, Paul )"
"Akerson, Daniel Francis",KLDiscovery Inc. - Former Chairman,"Motors Liquidation Company (O'Neal, Ernest Stanley)"
"Al Attiyah, Abdullah Hamad",VINCI SA - Independent Director,"VINCI SA (ENXTPA:DG) (Minc, Alain )"
"Al Gurg, Fahad",Arzaq Holding - Chief Executive Officer,"Motors Liquidation Company (O'Neal, Ernest Stanley)"
"Al Gurg, Raja Easa",HSBC Bank Middle East Limited - Former Director,"Coutts & Co. (Myners, Paul )"
"Al Hammadi, Yousuf Ahmad",Vinci Plc - Director,"VINCI SA (ENXTPA:DG) (Minc, Alain )"
"Al Mazrui, Sohail","Gulf Capital Pvt. JSC - Co-Founder, Director and Member of Advisory Board","Coutts & Co. (Myners, Paul )"
"Al Sulaiman, Lama",Coutts & Co. - Member of Middle East Advisory Board,"Coutts & Co. (Myners, Paul )"
"Al-Ansari, Nasser Hassan Faraj",Syrian-Qatari Holding - Chairman,"VINCI SA (ENXTPA:DG) (Minc, Alain )"
"Al-Awadi, Yousef Abdullah",Arab Banking Corporation (B.S.C.) - Non-Executive Independent Director,"GLG Partners, Inc. (Ashken, Ian G. H.), GLG Partners, Inc. (Berggruen, Nicolas ), GLG Partners, Inc. (Ellis Franklin, Martin ), GLG Partners, Inc. (Myners, Paul )"
"Albaugh, James F.","The Blackstone Group, Private Equity Group","Arconic Inc. (NYSE:ARNC) (O'Neal, Ernest Stanley)"
"Albert, Michael Mark","American Beacon Advisors, Inc. - Director","American Beacon Advisors, Inc. (O'Neal, Ernest Stanley)"
"Albertini, William O.",Verizon Communications Inc. - Former Chief Financial Officer and Director,"BlackRock, Inc. (NYSE:BLK) (O'Neal, Ernest Stanley), Triumph Group, Inc. (NYSE:TGI) (Silvestri, Joseph M.)"
"Albright, Madeleine K.",Albright Stonebridge Group LLC - Chair,"NYSE Holdings LLC (O'Neal, Ernest Stanley)"
"Albright, Richard ","Bain Capital Private Equity, LP - Managing Director of Investor Relations","Bain Capital Private Equity, LP (Goss, Michael Fenton)"
"Alcántara Rojas, Roberto Lázaro ","Promotora de Informaciones, S.A. - External Director","Promotora de Informaciones, S.A. (BME:PRS) (Berggruen, Nicolas ), Promotora de Informaciones, S.A. (BME:PRS) (Ellis Franklin, Martin ), Promotora de Informaciones, S.A. (BME:PRS) (Minc, Alain )"
"Alcock FCA, Robert Harding",Incepta Group plc - Former Non-Executive Deputy Chairman,"Huntsworth plc (LSE:HNT) (Myners, Paul )"
"Al-Ebraheem, Yousif Hamad",Investcorp Holdings B.S.C. - Chairman of the Board of Directors,"Grupo Brasilinvest S.A. (Berggruen, Nicolas )"
"Alemany, Ellen R.",CIT Group Inc. - Chairwoman & CEO,"Federal Reserve Bank of Boston Inc. (Smith, James Copenhaver)"
