"William Albert Ackman > Pershing Square Tontine Holdings, Ltd. > Relationship TreeRelationship Types: Board/Professional/Personal Relationships with Priors",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Ackman, William Albert",,,,,,,,,,,,,,
"Pershing Square Tontine Holdings, Ltd.",,,,,,,,,,,,,,
The Howard Hughes Corporation (NYSE:HHC),,,,,,,,,,,,,,
"Other Relationships: 3 Inside Board, 10 Outside Board, 88 Professional",,,,,,,,,,,,,,
,"Weinreb, David R.",,,,,,,,,,,,,
,Chief Executive Officer,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Furber, Jeffrey Davis - AEW Capital Management, LP: CEO & MD",,,,,,,,,,,,,
,Chairman of Corporate Governance Committee,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Model, Allen J.",,,,,,,,,,,,,
,Chairman of Risk Committee,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Sellers, R. Scot - Archstone Properties Ltd.: Chief Executive Officer",,,,,,,,,,,,,
,Chairman of Compensation Committee,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Shepsman, Steven H. - New World Lease Funding, LLC: Co-Founder and Managing Director",,,,,,,,,,,,,
,Chairman of Audit Committee,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Flatto, Adam R. - The Georgetown Company, LLC: Chief Executive Officer",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Kaplan, Beth J. - Rent the Runway, Inc.: Strategic Advisor",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,Other Relationships: 6 Professional,,,,,,,,,,,,,
,"Tansky, Burton M. - National Jewish Health, Inc.: Member of Council of Trustees and Director",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Tighe, Mary Ann - CBRE Group, Inc.: Chief Executive Officer of New York Tri-State Region",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Metz, Adam Spencer - GGP-TRC L.L.C.: CEO of General Growth Properties Inc and Director of General Growth...",,,,,,,,,,,,,
,Chairman of the Board (Prior),,,,,,,,,,,,,
,Other Relationships: 8 Professional,,,,,,,,,,,,,
,"Nolan, Thomas H. - GGP-TRC L.L.C.: President of General Growth Properties Inc, COO & Director of General...",,,,,,,,,,,,,
,President (Prior),,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Krow, Gary A. - Cadec Global, Inc.: Former Director",,,,,,,,,,,,,
,Chairman of Compensation Committee (Prior),,,,,,,,,,,,,
,Other Relationships: 5 Professional,,,,,,,,,,,,,
,"Arthur, David D. - Brookfield Asset Management Inc.: Former Managing Partner of Brookfield Real Estate",,,,,,,,,,,,,
,Member of the Board of Directors (Prior),,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Herlitz, Grant D.",,,,,,,,,,,,,
,President,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"O'Reilly, David R.",,,,,,,,,,,,,
,Chief Financial Officer,,,,,,,,,,,,,
,Other Relationships: 6 Professional,,,,,,,,,,,,,
,"Vasquez, Sarah M.",,,,,,,,,,,,,
,Chief Operating Officer,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Olea, Carlos ",,,,,,,,,,,,,
,Chief Accounting Officer,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Davidsohn, Reuben S.",,,,,,,,,,,,,
,Chief Administrative Officer,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Striph, David Michael",,,,,,,,,,,,,
,Head of Investor Relations,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Riley, Peter F.",,,,,,,,,,,,,
,Chief Legal Officer,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Carlson, Cristina ",,,,,,,,,,,,,
,Head of Corporate Communications,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Cornwell, Steven ",,,,,,,,,,,,,
,Head of Marketing,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Curry, Christopher J.",,,,,,,,,,,,,
,Head of Corporate Development,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Engle, Dara ",,,,,,,,,,,,,
,Head of Human Resources,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Bulmash, Mark ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Chandler, Peggy L.",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Doyle, Peter G.",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Fedeli, John ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Haas, Aaron ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Itzhakov, Moshe ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Kandru, Venkat ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Kautz, David ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Kostroske, Randy ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Meister, Adam ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Pisetsky, Bill ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Qualls, Valerie ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Randle, Race ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Rowe, Bill ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Schwartz, Andrew ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Slosser, Michael J.",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Strauss, Rick ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Waak, Michelle ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Warden, Thomas G.",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Wedemeyer, Bonnie ",,,,,,,,,,,,,
,Senior Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Fitchitt, Greg ",,,,,,,,,,,,,
,Unit President,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Layne, Paul H.",,,,,,,,,,,,,
,Unit President,,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Orrock, Kevin T.",,,,,,,,,,,,,
,Unit President,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Scherl, Saul Adam",,,,,,,,,,,,,
,Unit President,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Treacy, Simon Joseph",,,,,,,,,,,,,
,Unit President,,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Trisler, S. Brooks",,,,,,,,,,,,,
,Controller,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Apo, Todd ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Bisterfeldt, Danielle ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Bogard, Ron A.",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Cherry, Karen S.",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Cleaver, Julie ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Forman, Kellie ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Helfer, Peter ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Hoang, Ruth ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Johnstone, Doug ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Martin, Ben ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"McCaffrey, Jim ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Monroe, Arianne H. - Shapiro Sher Guinot & Sandler, P.A.: Partner",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Preus, Melisa ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Putney, Mark A.",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Reynolds, Rip ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Roberts, Joyce ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Rodriguez, Vanessa ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Shahadi, Andrew ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Shipp, Lona ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Weeshoff, Bill ",,,,,,,,,,,,,
,Other Key Executive,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Van Epp, Daniel C. - Newland Communities LLC: Executive Vice President of Capital Markets and Acquisitions",,,,,,,,,,,,,
,President (Prior),,,,,,,,,,,,,
,Other Relationships: 4 Professional,,,,,,,,,,,,,
,"Diamond, Rael Lee - Adira Capital: Chief Financial Officer",,,,,,,,,,,,,
,Chief Financial Officer (Prior),,,,,,,,,,,,,
,Other Relationships: 6 Professional,,,,,,,,,,,,,
,"Richardson, Andrew C. - iStar Inc.: Former CFO and President of Land & Development",,,,,,,,,,,,,
,Chief Financial Officer (Prior),,,,,,,,,,,,,
,Other Relationships: 7 Professional,,,,,,,,,,,,,
,"Ganeless, Steven",,,,,,,,,,,,,
,Chief Operating Officer (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Swain, Michael ",,,,,,,,,,,,,
,Chief Accounting Officer (Prior),,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Kboudi, Caryn Statman",,,,,,,,,,,,,
,Head of Investor Relations (Prior),,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Stang, Christopher ",,,,,,,,,,,,,
,Head of Investor Relations (Prior),,,,,,,,,,,,,
