team,name_first,name_middle,name_last,bio_text
Management,William,,Ackman,"William Ackman serves as our Chairman and Chief Executive Officer. Mr. Ackman founded Pershing Square in 2003, and is principally responsible for its investment policies and implementation. Mr. Ackman has spent 28 years in the investment management industry. Prior to forming Pershing Square, he co-founded Gotham Partners Management Co., LLC, an investment adviser that managed public and private equity portfolios. Mr. Ackman is currently Chairman of the Board of the Howard Hughes Corporation, and a member of the Investment Advisory Committee of the Federal Reserve Bank of NY. Mr. Ackman received his Bachelor of Arts degree from Harvard College, where he graduated magna cum laude, and received his Masters in Business Administration from Harvard Business School."
Management,Ben,,Hakim,"Ben Hakim serves as our Chief Financial Officer. Mr. Hakim is a Partner at Pershing Square and joined the Investment Team in 2012. Mr. Hakim was previously a Senior Managing Director at The Blackstone Group, where he worked in the Mergers & Acquisitions group for 13 years. Mr. Hakim received his Bachelor of Science from Cornell University in 1997."
Investment,Ryan,,Israel,"Ryan Israel is a Partner at Pershing Square and joined the Investment Team in 2009. Mr. Israel was previously an analyst at Goldman Sachs in the Technology, Media and Telecom group. Mr. Israel served as a director of Element Solutions Inc. from October 2013 through January 2019. Mr. Israel received his Bachelor of Science from the Wharton School at the University of Pennsylvania, where he graduated summa cum laude and beta gamma sigma in 2007."
Investment,Anthony,,Massaro,"Anthony Massaro is a Partner at Pershing Square and joined the Investment Team in 2013. Mr. Massaro was previously a private equity associate at Apollo Global Management, where he focused on leveraged buyout and distressed debt investments across a wide range of industries. Prior to Apollo, he was an analyst at Goldman Sachs in the Natural Resources group. Mr. Massaro received his Bachelor of Science from the Wharton School at the University of Pennsylvania, where he graduated summa cum laude and beta gamma sigma in 2009."
Investment,Charles,,Korn,"Charles Korn is a Partner at Pershing Square and joined the Investment Team in 2014. Mr. Korn was previously a private equity associate at KKR, where he focused on media, communications and industrials. Prior to KKR, he was an analyst at Goldman Sachs in the Technology, Media and Telecom group. Mr. Korn received a degree in Honors Business Administration from The Richard Ivey School of Business at The University of Western Ontario, where he graduated with highest distinction as an Ivey Scholar in 2010."
Investment,Bharath,,Alamanda,"Bharath Alamanda joined the Pershing Square Investment Team in 2017. Mr. Alamanda was previously a private equity associate at KKR, where he focused on financial services. Prior to KKR, he was an analyst at Goldman Sachs in the Technology, Media and Telecom Group. Mr. Alamanda received his Bachelor of Science in Engineering from Princeton University, where he graduated summa cum laude and phi beta kappa in 2013."
Investment,Feroz,,Qayyum,"Feroz Qayyum joined the Pershing Square Investment Team in 2017. Mr. Qayyum was previously a private equity associate at Hellman & Friedman, where he evaluated and oversaw investments across a wide range of industries. Prior to Hellman & Friedman, he was an analyst in the Mergers & Acquisitions group at Evercore. Mr. Qayyum received a degree in Honors Business Administration from The Richard Ivey School of Business at The University of Western Ontario, where he graduated with highest distinction as an Ivey Scholar in 2013."
Director,Lisa,,Gersh,"Lisa Gersh co-founded Oxygen Media (“Oxygen”) in 1999 and remained its President and Chief Operating Officer until the company’s sale to NBC in 2007 for $925 million. Oxygen was the first-ever multi-platform brand and created content for women, by women, and reached 74 million homes at the time of its sale. Following the sale of Oxygen, Ms. Gersh joined NBC and spearheaded NBC’s acquisition of the Weather Channel, serving briefly as its interim Chief Executive Officer. Also at NBC, Ms. Gersh launched Education Nation, a transformative education initiative that established NBC as the media authority on education. In 2011, Ms. Gersh took over the operations of Martha Stewart Living Omnimedia, Inc. (“Martha Stewart”), first as President and later as its Chief Executive Officer. During her tenure, Ms. Gersh rebranded Martha Stewart, materially reduced its operating expenses, and returned the company to profitability. In 2014, Ms. Gersh transformed Gwyneth Paltrow’s blog, Goop, Inc. (“Goop”), into the first contextual commerce brand. In the process of taking Goop from a collection of recommendations to a freestanding brand, Ms. Gersh oversaw, among other things, the launch of Goop’s e-commerce store, skincare and fashion lines, and created Goop’s pop-up retail strategy. In 2017, Ms. Gersh was named Chief Executive Officer of Alexander Wang, a global fashion brand based in New York City. A graduate of Rutgers Law School, Ms. Gersh began her career as a lawyer, first as a litigation associate at Debevoise & Plimpton LLP, and then as a Partner at Friedman, Kaplan, Seiler & Adelman LLP, a boutique law firm specializing in complex litigation and commercial transactions, which Ms. Gersh co-founded, and which today has more than 50 lawyers. Currently, Ms. Gersh sits on the board of directors of Hasbro, Inc., where she chairs the Compensation Committee, and Establishment Labs Holdings Inc., where she chairs the Nomination and Governance Committee. She also serves on the board of directors of the Bail Project, Inc. and the Samsung Retail Advisory Board. Ms. Gersh previously served on the board of directors of comScore, Inc."
Director,Michael,,Ovitz,"Michael Ovitz co-founded Creative Artists Agency (CAA) in 1974 and served as its Chairman until 1995. Over that 20-year period, he grew the agency from a start-up organization to the world’s leading talent agency, representing more than 1,000 of the most notable actors, directors, musicians, screenwriters and other personalities in the entertainment industry, including Martin Scorsese, Sean Connery, Robert Redford, Paul Newman, Robert DeNiro, Al Pacino, Bill Murray, Dustin Hoffman, Steven Spielberg, David Letterman, Meryl Streep, Barbara Streisand, Michael Crichton and Michael Jackson. In his journey from the mailroom to media mogul, Mr. Ovitz launched the most powerful agency in the world (to date), sold three major Hollywood studios, executed all marketing and advertising for The Coca-Cola Company (including creating the Polar Bear Campaign) and was at the forefront of the digital revolution, making alliances with Intel Corporation and other early Silicon Valley companies. Mr. Ovitz also served as President of the Walt Disney Company, from October 1995 to January 1997. In 2010, Mr. Ovitz founded the venture capital fund Broad Beach Ventures LLC, a portfolio of over thirty companies. He has been a senior advisor to Palantir Technologies for over 10 years and has invested in and advised companies from startups to black swans. He was instrumental in the creation of venture capital firm Andreessen Horowitz and frequently consults for Founders Fund, 8VC and many other firms. In 2018, Mr. Ovitz wrote and published his memoir Who Is Michael Ovitz?, which was on the long list for The Financial Times and McKinsey Business Book of the Year Award. Mr. Ovitz is a graduate of University of California, Los Angeles and helped rebuild the UCLA Medical Center in 1997 while serving as its Chairman for over a decade. Mr. Ovitz is also a notable art collector and serves on The Board of Trustees at The Museum of Modern Art in New York City."
Director,Jacqueline,D,Reses,"Jacqueline D. Reses serves as the Head of Square Capital, LLC, a wholly owned subsidiary of Square, Inc. (“Square”), which focuses on facilitating small business credit to businesses which have been locked out of traditional sources of capital. Ms. Reses expects to serve as the Executive Chairman of Square Financial Services, a conditionally approved FDIC-insured bank owned by Square. Prior to Square, Ms. Reses was the Chief Development Officer of Yahoo! Inc. and the head of the U.S. media group at Apax Partners Worldwide LLP, one of the largest global private equity firms. Ms. Reses also spent seven years at Goldman Sachs in mergers and acquisitions and the principal investment area. She previously served on the board of directors of Alibaba Group Holdings Limited, China’s largest mobile commerce company and Social Capital Hedosophia Holdings Corp. Ms. Reses sits on the boards of directors of Social Capital Hedosophia Holdings Corp. III and a number of privately held companies, as well as the Economic Advisory Council of the Federal Reserve Bank of San Francisco, the Board of Directors of the Wharton School of the University of Pennsylvania and National Public Radio (NPR). Ms. Reses is also currently serving on California Governor Newsom’s Task Force for Business and Jobs Recovery. Ms. Reses received a bachelor’s degree in economics with honors from the Wharton School of the University of Pennsylvania."
